accident_id,time,base_sub_base,county,road,place,vehicles_involved,accident_details,gender,age,cause_code,victim_type,number,date,county_raw,gender_raw,victim_type_raw,age_raw,age_numeric,age_category,age_group,date_raw,year,month,month_name,day,day_name,time_raw,hour,minute,time_period,cause_code_raw,cause_group,vehicles_involved_raw,motorcycle,matatu,bus,lorry_truck,pickup,tractor,car_suv,unknown_vehicle,trailer_tanker,vehicle_classified,van_minivan,unspecified_vehicle,is_synthetic,synthetic_note
370,1230,KITALE,TRANS NZOIA,KITALE ELDORET,MAILI SABA TRADING CENTRE,KCA 241N ISUZU LORRY,THE VICTIM JUMPED OFF FROM A MOVING VEHICLE,MALE,25,71.0,PASSENGER,1.0,2016-04-01 00:00:00,TRANS NZOIA,M,PASSENGER,25,25.0,NUMERIC AGE,25-34,04/01,2016,4,April,1,Friday,1230,12.0,30.0,AFTERNOON,71.0,PASSENGER / ATTENDANT,KCA 241N ISUZU LORRY,False,False,False,True,False,False,False,False,False,True,False,False,False,
371,100,NAROMORU,NYERI,NYERI NANYUKI,TIGITHU AREA,KBN 441M T/MATATU & KMCN 333G CAPTAIN,THE MATATU KNOCKED DOWN THE M/CYCLIST,MALE,60,9.0,MOTORCYCLIST,1.0,2016-04-01 00:00:00,NYERI,M,M/CYCLIST,60,60.0,NUMERIC AGE,55-64,04/01,2016,4,April,1,Friday,100,1.0,0.0,NIGHT,9.0,DRIVER / CYCLIST BEHAVIOUR,KBN 441M T/MATATU & KMCN 333G CAPTAIN,False,True,False,False,False,False,False,False,False,True,False,False,False,
372,700,CHANGAMWE,MOMBASA,MOMBASA NAIROBI,BANGLADESH,KCF 186A/ZF 1848 MAN TRAILER & KTCB 478P/ZE 5817 HOLLAND TRACTOR,HEAD ON COLLISION,MALE,24,11.0,DRIVER,1.0,2016-04-01 00:00:00,MOMBASA,M,DRIVER,24,24.0,NUMERIC AGE,18-24,04/01,2016,4,April,1,Friday,700,7.0,0.0,MORNING,11.0,DRIVER / CYCLIST BEHAVIOUR,KCF 186A/ZF 1848 MAN TRAILER & KTCB 478P/ZE 5817 HOLLAND TRACTOR,False,False,False,False,False,True,False,False,True,True,False,False,False,
373,1515,KINANGOP,NYANDARUA,NJABINI OLKALAU,MUNYAKA AREA,KBX 389H TOYOTA MATATU,THE MATATU ROLLED SEVERAL TIMES,FEMALE,A,79.0,PASSENGER,2.0,2016-04-01 00:00:00,NYANDARUA,F,PASSENGER,A,,ADULT,,04/01,2016,4,April,1,Friday,1515,15.0,15.0,AFTERNOON,79.0,VEHICLE DEFECT,KBX 389H TOYOTA MATATU,False,True,False,False,False,False,False,False,False,True,False,False,False,
374,2110,JUJA,KIAMBU,THIKA SUPERHIGHWAY,NEAR KALIMONI JUNIOR SCHOOL,KAW 249X TOYOTA TOWNACE & UNKNOWN M/V,THE VICTIM WAS KNOCKED DOWN BY THE UNKNOWN M/V,MALE,A,63.0,PEDESTRIAN,1.0,2016-04-01 00:00:00,KIAMBU,M,PEDESTRIAN,A,,ADULT,,04/01,2016,4,April,1,Friday,2110,21.0,10.0,NIGHT,63.0,PEDESTRIAN BEHAVIOUR,KAW 249X TOYOTA TOWNACE & UNKNOWN M/V,False,False,False,False,False,False,False,True,False,True,True,False,False,
375,2040,KAJIADO,KAJIADO,KAJIADO NAMANGA,NEAR BISIL TOWN,KBR 337E TOYOTA ALLIANCE & UNREGISTERED M/CYCLE,HEAD ON COLLISION,MALE,A,10.0,MOTORCYCLIST,1.0,2016-04-01 00:00:00,KAJIADO,M,M/CYCLIST,A,,ADULT,,04/01,2016,4,April,1,Friday,2040,20.0,40.0,EVENING,10.0,DRIVER / CYCLIST BEHAVIOUR,KBR 337E TOYOTA ALLIANCE & UNREGISTERED M/CYCLE,True,False,False,False,False,False,False,False,False,True,False,False,False,
376,2040,KAJIADO,KAJIADO,KAJIADO NAMANGA,NEAR BISIL TOWN,KBR 337E TOYOTA ALLIANCE & UNREGISTERED M/CYCLE,HEAD ON COLLISION,MALE,A,10.0,PILLION PASSENGER,1.0,2016-04-01 00:00:00,KAJIADO,M,P/PASSENGER,A,,ADULT,,04/01,2016,4,April,1,Friday,2040,20.0,40.0,EVENING,10.0,DRIVER / CYCLIST BEHAVIOUR,KBR 337E TOYOTA ALLIANCE & UNREGISTERED M/CYCLE,True,False,False,False,False,False,False,False,False,True,False,False,False,
377,1830,KAYOLE,NAIROBI,SPINE ROAD,NEAR SHUJAA MALL,KBS 604T ISUZU MINI BUS,THE VICTIM TRIED TO ALIGHT WHILE THE VEHICLE WAS IN MOTION,MALE,A,70.0,PASSENGER,1.0,2016-04-01 00:00:00,NAIROBI,M,PASSENGER,A,,ADULT,,04/01,2016,4,April,1,Friday,1830,18.0,30.0,EVENING,70.0,PASSENGER / ATTENDANT,KBS 604T ISUZU MINI BUS,False,False,True,False,False,False,False,False,False,True,False,False,False,
378,2230,MAKONGENI,NAIROBI,JOGOO ROAD,NEAR BAMA STAGE,UNKNOWN M/V,HIT AND RUN,MALE,A,63.0,PEDESTRIAN,1.0,2016-04-01 00:00:00,NAIROBI,M,PEDESTRIAN,A,,ADULT,,04/01,2016,4,April,1,Friday,2230,22.0,30.0,NIGHT,63.0,PEDESTRIAN BEHAVIOUR,UNKNOWN M/V,False,False,False,False,False,False,False,True,False,True,False,False,False,
361,240,KAYOLE,NAIROBI,KANGUNDO ROAD,NEAR CALTEX,KCA 101B TATA LORRY & KBV 165P MITSUBISHI P/UP,THE LORRY RAMMED INTO THE REAR P/UP,MALE,A,29.0,DRIVER,1.0,2016-04-02 00:00:00,NAIROBI,M,DRIVER,A,,ADULT,,04/02,2016,4,April,2,Saturday,240,2.0,40.0,NIGHT,29.0,DRIVER / CYCLIST BEHAVIOUR,KCA 101B TATA LORRY & KBV 165P MITSUBISHI P/UP,False,False,False,True,True,False,False,False,False,True,False,False,False,
362,715,RUIRU,KIAMBU,THIKA SUPERHIGHWAY,KU DRIFT,KAV 272V MITSUBISHI CANTER & KAR 652F TOYOTA SALOON,THE CANTER RAMMED INTO THE REAR SALOON CAR,MALE,23,29.0,DRIVER,1.0,2016-04-02 00:00:00,KIAMBU,M,DRIVER,23,23.0,NUMERIC AGE,18-24,04/02,2016,4,April,2,Saturday,715,7.0,15.0,MORNING,29.0,DRIVER / CYCLIST BEHAVIOUR,KAV 272V MITSUBISHI CANTER & KAR 652F TOYOTA SALOON,False,False,False,True,False,False,True,False,False,True,False,False,False,
363,800,NYERI,NYERI,NYERI OTHAYA,NGURA BRIDGE,KAU 204E T/MATATU,THE VEHICLE LOST CONTROL AND PLUGGED INTO THE RIVER,MALE,A,,PASSENGER,1.0,2016-04-02 00:00:00,NYERI,M,PASSENGER,A,,ADULT,,04/02,2016,4,April,2,Saturday,800,8.0,0.0,MORNING,,NOT RECORDED,KAU 204E T/MATATU,False,True,False,False,False,False,False,False,False,True,False,False,False,
